source_file,direction,source_term,context,proposed_translation,term_type,status,notes
katturaigal/vaarsu.md,tamil_to_english,வார்சு,"Distinguishes inheritance of property from succession to movement leadership",heir / successor,loanword,approved,"Rendered according to context while retaining the quoted source term in the title."
katturaigal/vaarsu.md,tamil_to_english,ஒட்டகச் சுபாவம்,"Camel analogy for retracting only one of several imposed burdens",camel-like nature,extended_metaphor,approved,"The metaphor is preserved throughout the translation."
katturaigal/vazhthinar.md,tamil_to_english,பிராமணா மமதேவதா,"Repeated sarcastic formula concerning Brahmin influence",the Brahmin is my deity,Sanskrit_formula,approved,"Preserves Anna's sarcasm rather than treating it as devotional prose."
katturaigal/vazhthinar.md,tamil_to_english,பூசுரர்,"Polemical label for Brahmins intervening in Kashmir politics",priestly group,polemic_term,approved,"Rendered contextually; literal divine connotations are not imported."
katturaigal/tn_tamilarukkae.md,tamil_to_english,கசாகூளம்,"Metaphor for the vast and confused political association called India",vast confusion,rare_period_term,approved,"Rendered from context; the unusual source form is retained in Tamil."
katturaigal/tn_tamilarukkae.md,tamil_to_english,பனியாக்கள்,"North Indian mercantile communities named in a polemical political argument",Banias,community_term,approved,"Transliterated rather than generalised to merchants because the source repeatedly names a community."
katturaigal/tn_tamilarukkae.md,tamil_to_english,பூதேவர்கள்,"Sarcastic description of socially elevated outsiders and Brahmins",gods on earth,polemical_term,approved,"The quotation marks and sarcastic force are preserved."
katturaigal/tn_tamilarukkae.md,tamil_to_english,கபாடபுரம்,"Pandyan city named in a Ramayana geographical quotation",Kapatapuram,historical_place_name,review,"Transliteration is conservative; the scan prints a period form and the cited textual tradition should be checked independently."
katturaigal/tn_tamilarukkae.md,tamil_to_english,செய்யப்பட்டாய்விட்டது,"Period compound form spanning a scan page join",has been rendered,period_form,approved,"The English conveys the completed passive sense; the scan-derived Tamil form is not modernised."
katturaigal/vazhthinar.md,tamil_to_english,அடாணா,"Musical-register metaphor for Nehru moderating his statement",lowered the pitch,cultural_metaphor,approved,"Retains the musical image."
katturaigal/piravi_muthalali.md,tamil_to_english,பிறவி முதலாளிகள்,"Inherited caste privilege contrasted with economic capital",capitalists by birth,political_wordplay,approved,"Preserves the article's central distinction."
katturaigal/piravi_muthalali.md,tamil_to_english,அபேதவாதம்,"Used for socialist doctrine and for social/economic non-difference",socialism / equality,political_term,approved,"Rendered contextually rather than with one rigid English equivalent."
katturaigal/piravi_muthalali.md,tamil_to_english,தடியடி தர்பார்,"Sarcastic description of officials observing a police baton charge",baton-charge durbar,political_irony,approved,"Retains Anna's hybrid phrase and sarcasm."
katturaigal/kutrathoorar.md,tamil_to_english,குற்றத்தூரார்,"Coined title connecting crime with a figurative town and its inhabitants",The People of Crime-town,political_wordplay,approved,"Retains the place metaphor and honorific plural reference to offenders."
katturaigal/kutrathoorar.md,tamil_to_english,பஞ்சமா பாதகங்கள்,"Traditional classification invoked while discussing crime",the five great sins,religious_term,approved,"Uses the conventional religious sense."
katturaigal/kutrathoorar.md,tamil_to_english,துஷ்ட நிக்கிரக சிஷ்டபரிபாலனம்,"Formula used to justify divine violence",destroying the wicked and protecting the good,Sanskrit_formula,approved,"Meaning translated in context rather than transliterated."
katturaigal/paathivazhi.md,tamil_to_english,பாதி வழியில்,"Bhupesh Gupta has moved toward State autonomy but not yet accepted a right to secede",halfway,political_wordplay,approved,"Retains the title and closing metaphor."
katturaigal/paathivazhi.md,tamil_to_english,அகில இந்தியா'க்கள்,"Ironic label for advocates of an indivisible all-India polity",All-Indians,political_irony,approved,"Quotation marks preserve Anna's ironic coinage."
katturaigal/antha_annakavadi.md,tamil_to_english,அன்னக்காவடி,"Repeated ironic description of Karl Marx as impoverished while working to abolish poverty",annak kavadi / destitute wanderer,cultural_social_term,approved,"Retained in transliteration in the title and key passages because the article transforms a class insult into praise."
katturaigal/thuravi.md,tamil_to_english,சாமியார்,"Used reverently by the monastery and sarcastically by Luther's father",monk / holy man,religious_irony,approved,"Translation varies by speaker so quotation marks retain the father's sceptical tone."
katturaigal/hindi_aalai.md,tamil_to_english,இந்தியாள்,"Hindi personified as a woman expected to sit enthroned as official language",Lady Hindi,political_wordplay,approved,"Personification is retained rather than flattened to the name of the language."
katturaigal/vazhvin_latchiyam.md,tamil_to_english,கனம்,"Honorific repeatedly prefixed to minister Sitarama Reddy",Honourable,period_abbreviation,approved,"Expanded by function rather than transliterated because it abbreviates கனம் பொருந்திய."
katturaigal/burmavai_paarungal.md,tamil_to_english,கனங்கள்,"Former politicians resent having to obey the young Aung San",honourable men,ironic_honorific,approved,"Quotation marks preserve the source's sarcasm toward status-conscious politicians."
katturaigal/pallakku_boomi.md,tamil_to_english,பல்லக்கு,"Mediterranean described as carrying successive imperial powers and civilizations",palanquin of empires,historical_metaphor,approved,"The English title makes explicit the metaphor subsequently defined by the article."
katturaigal/iruthaya_geetham.md,tamil_to_english,ஜடையுடை வேற்றார்,"Freedom lost under crowned kings to outsiders marked by ritual topknots",top-knotted outsiders,polemical_social_term,provisional,"Literal image retained because replacing it with a fixed modern identity would silently narrow the historical rhetoric."
katturaigal/iruthaya_geetham.md,tamil_to_english,புல்லேந்திகள்,"Contrast between military conquest and decline through ritual influence",bearers of sacred grass,ritual_satire,provisional,"Likely targets Brahmanical ritual authority; literal rendering avoids overstating the damaged allusion."
katturaigal/iruthaya_geetham.md,tamil_to_english,பதவிக் கொவ்வை,"Liberation force contrasted with parrots attracted by the red kovvai fruit of office",red fruit of office,political_metaphor,approved,"Retains the colour and temptation image while avoiding a botanically distracting untranslated fruit name."
katturaigal/thanga_vayalil.md,tamil_to_english,அடிமடியில் கைபோடாத வகையில்,"State is content while its own annual revenue remains untouched",so long as no hand reaches beneath its own waistcloth,idiom,approved,"Literal bodily image preserves the accusation of narrow self-interest."
katturaigal/thanga_vayalil.md,tamil_to_english,ஏகாதிபத்யக் கண்காட்சிச் சாலையின் கொலுப்பொம்மைகள்,"Princely rulers displayed as powerless ornaments of empire",display dolls in the exhibition hall of imperialism,political_metaphor,approved,"Retains the source's exhibition and festival-doll imagery."
katturaigal/sirantha_nanbar.md,tamil_to_english,ஆட்கள் அல்ல நண்பர்கள்,"Students in Justice Party bicycle procession described first as followers then corrected",not his men but his friends,leadership_wordplay,approved,"Preserves Anna's correction from hierarchical possession to comradeship."
katturaigal/sirantha_nanbar.md,tamil_to_english,பயன்படுத்தாத காரணத்தால் பாழான பண்டம்,"Varadarajan's unrealized public potential contrasted with his movement service",an article ruined through disuse,life_metaphor,approved,"Literal object metaphor retained while the next sentence supplies the qualification about public benefit."
katturaigal/vetrikalippu.md,tamil_to_english,அறப்போர் சர்வாதிகாரி,"Formal movement role held by C.N.A. during the anti-Hindi civil resistance",Sarvadhikari / campaign commander,movement_title,approved,"Transliteration plus gloss avoids the misleading modern political sense dictator."
katturaigal/vetrikalippu.md,tamil_to_english,தார் தொட்டி,"Proposed direct action to cover demoted or wrongly placed Hindi railway signage",tar pot,protest_symbol,approved,"Literal object is essential to the historical language-board protest."
