file,line,token,issue,context
katturaigal/tn_tamilarukkae_1.md,60,gem,latin_in_tamil_line,"பட்ட ஜெம் (gem) டிக்ஷனரியில், 340ஆம் பக்க 5வது வரியில்"
katturaigal/tn_tamilarukkae_1.md,61,draveda,latin_in_tamil_line,(draveda) “திராவிட”-- என்பதற்குத் “தமிழ்நாடு” என்று ஆராய்ச்சி
katturaigal/tn_tamilarukkae_1.md,186,gem,latin_in_tamil_line,- பிரசுரிக்கப்பட்ட ஜெம் (gem) டிக்ஷனரியில் 340ஆம் பக்கம்
katturaigal/tn_tamilarukkae_1.md,187,draveda,latin_in_tamil_line,5ஆவது வரியில் (draveda) “திராவிட”-- என்பதற்கு “தமிழ்நாடு”
katturaigal/tn_tamilarukkae_1.md,191,dravedan,latin_in_tamil_line,“திராவிடன் (dravedan) என்கின்ற பதத்திற்கு ஆரியர்கள்
katturaigal/tn_tamilarukkae_2.md,280,New,latin_in_tamil_line,"இது ""New Age Encyclopaedia"" (நியூ ஏஜ் என்சைக்ளோபீடியா)"
katturaigal/tn_tamilarukkae_2.md,280,Age,latin_in_tamil_line,"இது ""New Age Encyclopaedia"" (நியூ ஏஜ் என்சைக்ளோபீடியா)"
katturaigal/tn_tamilarukkae_2.md,280,Encyclopaedia,latin_in_tamil_line,"இது ""New Age Encyclopaedia"" (நியூ ஏஜ் என்சைக்ளோபீடியா)"
katturaigal/tn_tamilarukkae_2.md,281,vol,latin_in_tamil_line,vol. II (1925) பக்கம் 273இல் இருக்கிறது.
katturaigal/tn_tamilarukkae_2.md,281,II,latin_in_tamil_line,vol. II (1925) பக்கம் 273இல் இருக்கிறது.
katturaigal/tn_tamilarukkae_2.md,418,New,latin_in_tamil_line,"இது ""New Age Encyclopaedia"" (நியூ ஏஜ் என்சைக்ளோபீடியா)"
katturaigal/tn_tamilarukkae_2.md,418,Age,latin_in_tamil_line,"இது ""New Age Encyclopaedia"" (நியூ ஏஜ் என்சைக்ளோபீடியா)"
katturaigal/tn_tamilarukkae_2.md,418,Encyclopaedia,latin_in_tamil_line,"இது ""New Age Encyclopaedia"" (நியூ ஏஜ் என்சைக்ளோபீடியா)"
katturaigal/tn_tamilarukkae_2.md,419,vol,latin_in_tamil_line,vol. II (1925) பக்கம் 273இல் இருக்கிறது.
katturaigal/tn_tamilarukkae_2.md,419,II,latin_in_tamil_line,vol. II (1925) பக்கம் 273இல் இருக்கிறது.
