file,line,token,issue,context
sorpozhivugal/1967_1.md,188,At,latin_in_tamil_line,"அவர் எழுதியிருக்கிறார், “எந்த நேரத்திலானாலும் சரி, At"
sorpozhivugal/1967_1.md,189,any,latin_in_tamil_line,"any time Tamilians will prefer London to Delhi, என்று தெளிவாக"
sorpozhivugal/1967_1.md,189,time,latin_in_tamil_line,"any time Tamilians will prefer London to Delhi, என்று தெளிவாக"
sorpozhivugal/1967_1.md,189,Tamilians,latin_in_tamil_line,"any time Tamilians will prefer London to Delhi, என்று தெளிவாக"
sorpozhivugal/1967_1.md,189,will,latin_in_tamil_line,"any time Tamilians will prefer London to Delhi, என்று தெளிவாக"
sorpozhivugal/1967_1.md,189,prefer,latin_in_tamil_line,"any time Tamilians will prefer London to Delhi, என்று தெளிவாக"
sorpozhivugal/1967_1.md,189,London,latin_in_tamil_line,"any time Tamilians will prefer London to Delhi, என்று தெளிவாக"
sorpozhivugal/1967_1.md,189,to,latin_in_tamil_line,"any time Tamilians will prefer London to Delhi, என்று தெளிவாக"
sorpozhivugal/1967_1.md,189,Delhi,latin_in_tamil_line,"any time Tamilians will prefer London to Delhi, என்று தெளிவாக"
sorpozhivugal/1967_1.md,209,South,latin_in_tamil_line,பணியாற்றினர். அவர்கள் இயக்கத்துக்கு இட்ட பெயரே South
sorpozhivugal/1967_1.md,210,Indian,latin_in_tamil_line,Indian Liberal Fedaration - தென்னிந்திய விடுதலைச் சங்கம் (நல
sorpozhivugal/1967_1.md,210,Liberal,latin_in_tamil_line,Indian Liberal Fedaration - தென்னிந்திய விடுதலைச் சங்கம் (நல
sorpozhivugal/1967_1.md,210,Fedaration,latin_in_tamil_line,Indian Liberal Fedaration - தென்னிந்திய விடுதலைச் சங்கம் (நல
sorpozhivugal/1967_1.md,290,T,latin_in_tamil_line,நம்முடைய ஜஸ்டிஸ் பத்திரிகையிலே T. A. V. நாதன் அவர்கள்
sorpozhivugal/1967_1.md,290,A,latin_in_tamil_line,நம்முடைய ஜஸ்டிஸ் பத்திரிகையிலே T. A. V. நாதன் அவர்கள்
sorpozhivugal/1967_1.md,290,V,latin_in_tamil_line,நம்முடைய ஜஸ்டிஸ் பத்திரிகையிலே T. A. V. நாதன் அவர்கள்
sorpozhivugal/1967_1.md,319,B.A,latin_in_tamil_line,பார்ப்பனரல்லாத சமுதாயத்தில் B.A. படித்துவிட்டு வேலை
sorpozhivugal/1967_1.md,320,MA,latin_in_tamil_line,கிடைக்காமல் - MA. படித்துவிட்டு மேல் உத்தியோகத்துக்குப்
sorpozhivugal/1967_1.md,325,MAUI,latin_in_tamil_line,"MAUI இழுக்கின்ற கந்தன், கடைவைத்துப் பிழைக்கின்ற"
sorpozhivugal/1967_1.md,338,SCHL,latin_in_tamil_line,எண்ணியிருக்கலாம். அனால் நான் காஞ்சீபுரத்திலே SCHL
sorpozhivugal/1967_1.md,538,Sappers,latin_in_tamil_line,என்று சொல்லி நான் அதற்கு Sappers and Miners உதாரணத்தைச்
sorpozhivugal/1967_1.md,538,and,latin_in_tamil_line,என்று சொல்லி நான் அதற்கு Sappers and Miners உதாரணத்தைச்
sorpozhivugal/1967_1.md,538,Miners,latin_in_tamil_line,என்று சொல்லி நான் அதற்கு Sappers and Miners உதாரணத்தைச்
sorpozhivugal/1967_2.md,256,பிரேோரேபணையை,invalid_tamil_sequence,"சட்டமன்றத் தலைவர் எழுந்து, இந்த வெட்டுப் பிரேோரேபணையை"
sorpozhivugal/1967_2.md,306,HH,latin_in_tamil_line,நாட்டுக்கு “தமிழ் HH” என்று பெயர் வைப்பதுகூட
sorpozhivugal/1967_2.md,424,FL,latin_in_tamil_line,புதிதாக எந்தச் FL pb வரவில்லை. புதிதாக ஏதாவது நாட்டு
sorpozhivugal/1967_2.md,424,pb,latin_in_tamil_line,புதிதாக எந்தச் FL pb வரவில்லை. புதிதாக ஏதாவது நாட்டு
