source_file,source_fragment,probable_reading,status,notes
nadagangal/mangalapuri_1.md,"Images 1, 2, 4, 5 and 6 were blank; surviving text misread the fourth scene date as 1959 and corrupted numerous stage directions","All nine scans restored; scene chronology 1948, 1950, 1954, 1956, 1966",corrected_in_source,"Every scan was visually checked. The title, complete dialogue, five dated settings, stage directions, and final authorial observation were restored."
nadagangal/ragavayanam_1.md,"Images 1, 3, 7 and 8 were blank or omitted in the OCR text; remaining pages contained corrupted title, speaker labels, names, and dialogue","All eight scan pages restored and visually transcribed; title ராகவாயணம்; சித்ரகூடப் பாகவதர்; இலஞ்சம் ருசு ஆகிவிட்டது; சத்யசந்தர்",corrected_in_source,"Every scan was visually checked. The colloquial Tamil, satirical canto names, Sanskrit-derived vocabulary, and printed publication date were retained."
sorpozhivugal/190868.md,"All 20 scans contained severe Tamil OCR corruption; Image 5 was entirely omitted; printed English interventions on Images 5-6 were lost","Complete speech restored from all 20 scans, including title, speakers, figures, page joins, and English interventions",corrected_in_source,"Every image was visually checked. Printed wording was retained, including the apparent English typo 'should to reciprocal'; no silent editorial emendation was made."
katturaigal/nirubarin_nilai.md,"Image 8 ends on printed page 181; Image 9 is unrelated printed page 185; Image 10 begins mid-sentence with the article's ending","Printed pages 182-184 missing; website asset sequence is corrupt",incomplete_source,"Visually verified against scans 008-010 and confirmed in the live HTML, which directly links the same incorrect numbered assets. No translation should be produced until the missing pages are recovered."
katturaigal/ilamayil_muthumai.md,"Image 4 ends 'பண்டிதருக்கோ, இயற்கைக்கு ஏற்றபடி'; Image 5 begins 'கோடானுகோடி ஏழைமக்கள்'","At least one intervening page or passage is missing",incomplete_source,"Visually verified against Images 4-5 and confirmed that the live HTML directly lists the same 15 assets. The discontinuity falls at the transition from the youth-and-old-age metaphor to Jayaprakash Narayan's political argument. Withhold translation until the missing passage is recovered."
katturaigal/vaarsu.md,"Image 12 absent from canonical Markdown; damaged date 5-7-409 and several OCR substitutions","Final conclusion and signature restored; 5-7-49; முறை; தன்மானம்; வேடிக்கையாக",corrected_in_source,"Image 12 was manually transcribed from the scan and all listed corrections were visually verified."
katturaigal/vazhthinar.md,"Article number 51; damaged names and sale-price wording; stray fragments before Image 8","31; மகாராஜா குலாப்சிங்; 400000 பவுன்; non-text removed",corrected_in_source,"Corrections were visually verified against Images 1, 3, 8, and 10. Historical claims remain source-attributed."
katturaigal/piravi_muthalali.md,"Damaged May Day phrases and labour-history place names","மே தினம்; முழுப்பயனெய்த; உலகத் தொழிலாளிகளே ஒன்று திரளுங்கள்; மனக்கண் திறக்க",corrected_in_source,"Phrases were verified from scans; historical place-name spellings remain as printed and are noted in the translation."
katturaigal/kutrathoorar.md,"Article number 53%; stray fragments on Images 5, 6, 9, and 11; போனை on Image 12","58; non-text removed; பேனா",corrected_in_source,"Readings were verified from the page images before bilingual assembly."
katturaigal/paathivazhi.md,"Opening quotation and final date contained severe OCR corruption","Opening restored from Image 1; date 15.2.1959 restored from Image 8",corrected_in_source,"Only scan-proven readings were changed before bilingual assembly."
nadagangal/bagirathiyin_1.md,"The original OCR marked all 10 readable scans blank because the grayscale PNGs carried transparency; the complete text had to be recovered","பாகீரதியின் பந்தயம்; complete ten-page source restored",corrected_in_source,"The images were flattened before Tamil OCR. Every scan was visually checked in sequence, false-empty sections were replaced, and clear character, name, party-abbreviation, word-break, and punctuation errors were corrected against the printed pages."
katturaigal/kaithari.md,"போட்ட புடவை, போட்ட வேட்டி","[specific sari and dhoti varieties unclear]",needs_scan_check,"Finance Minister's reservation proposal names textile varieties, but OCR does not support a unique correction; English remains generic."
katturaigal/vetriyil_veezhchi2_aditha.md,"வற்றியில் வீழ்ச்சி","வெற்றியில் வீழ்ச்சி",confirmed_by_context,"Filename and the article's victory/profit argument establish the corrected display title; source retained verbatim."
katturaigal/urimaipor_vetri.md,"7-3-57 காலை 9 மணிக்கு","1-3-51 காலை 9 மணிக்கு",confirmed_by_context,"The action date is repeated later as 1-3-51 and publication is 18-3-51; source retained verbatim."
katturaigal/urimaipor_vetri.md,"தீடுத்தது மக்கள்!","படித்தது மக்கள்!",probable,"Immediate context concerns the public reading of the prohibited work; source retained verbatim and English remains conservative."
