file,action,reason
Kurunavalgal/CONTENTS.md,skipped,not in source map
contact.md,unchanged,already verbatim
english/CONTENTS.md,skipped,not in source map
english/annavin_english_katturaigal.md,restored,verbatim English HTML source
home.md,unchanged,already verbatim
index.md,restored,verbatim Tamil HTML source
kadithangal/1961_kaana_thittama.md,unchanged,already verbatim
kadithangal/CONTENTS.md,skipped,not in source map
kadithangal/aalayilla_ooril.md,unchanged,already verbatim
kadithangal/aalinganamum.md,unchanged,already verbatim
kadithangal/aanai_piranthathu_1.md,unchanged,already verbatim
kadithangal/aanal_agavae.md,unchanged,already verbatim
kadithangal/aariyam_irukum_idam.md,unchanged,already verbatim
kadithangal/aavadiyum_kaavadiyum.md,unchanged,already verbatim
kadithangal/aazhamam_kuzhiyam.md,unchanged,already verbatim
katturaigal/4-5-7-10.md,skipped,OCR source requires reviewed corrections
katturaigal/CONTENTS.md,skipped,not in source map
katturaigal/aachariyar_adaintha.md,skipped,OCR source requires reviewed corrections
katturaigal/aachariyarin_aarudam.md,skipped,OCR source requires reviewed corrections
katturaigal/aaduraattey.md,skipped,OCR source requires reviewed corrections
katturaigal/aakiramippai.md,skipped,OCR source requires reviewed corrections
katturaigal/aal_thaedu.md,skipped,OCR source requires reviewed corrections
katturaigal/aamai_vaegam.md,skipped,OCR source requires reviewed corrections
katturaigal/aanalum.md,skipped,OCR source requires reviewed corrections
katturaigal/aandu14.md,skipped,OCR source requires reviewed corrections
katturaigal/aangilampol.md,skipped,OCR source requires reviewed corrections
katturaigal/aariyamaayai.md,skipped,OCR source requires reviewed corrections
katturaigal/aariyar_samayam.md,skipped,OCR source requires reviewed corrections
katturaigal/aaruthal_kooru.md,skipped,OCR source requires reviewed corrections
katturaigal/aaruthal_perattum.md,skipped,OCR source requires reviewed corrections
katturaigal/aasai_vetkam.md,skipped,OCR source requires reviewed corrections
katturaigal/aatchi_mozhi.md,skipped,OCR source requires reviewed corrections
katturaigal/aathiramum.md,skipped,OCR source requires reviewed corrections
katturaigal/abaya_arivippu.md,skipped,OCR source requires reviewed corrections
katturaigal/abethavetham.md,skipped,OCR source requires reviewed corrections
katturaigal/adakkumurai_att.md,skipped,OCR source requires reviewed corrections
